		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	1	0.00000	0.00000	0.00000
1	2	0.00200	0.00778	0.00000
1	3	0.00400	0.01091	0.00000
1	4	0.00600	0.01328	0.00000
1	5	0.00800	0.01524	0.00000
1	6	0.01000	0.01696	0.00000
1	7	0.01200	0.01849	0.00000
1	8	0.01400	0.01988	0.00000
1	9	0.01600	0.02117	0.00000
1	10	0.01800	0.02237	0.00000
1	11	0.02000	0.02349	0.00000
1	12	0.02200	0.02454	0.00000
1	13	0.02400	0.02554	0.00000
1	14	0.02600	0.02649	0.00000
1	15	0.02800	0.02740	0.00000
1	16	0.03000	0.02826	0.00000
1	17	0.03200	0.02909	0.00000
1	18	0.03400	0.02989	0.00000
1	19	0.03600	0.03066	0.00000
1	20	0.03800	0.03140	0.00000
1	21	0.04000	0.03212	0.00000
1	22	0.04200	0.03281	0.00000
1	23	0.04400	0.03348	0.00000
1	24	0.04600	0.03413	0.00000
1	25	0.04800	0.03476	0.00000
1	26	0.05000	0.03537	0.00000
1	27	0.05200	0.03596	0.00000
1	28	0.05400	0.03654	0.00000
1	29	0.05600	0.03710	0.00000
1	30	0.05800	0.03764	0.00000
1	31	0.06000	0.03818	0.00000
1	32	0.06200	0.03869	0.00000
1	33	0.06400	0.03920	0.00000
1	34	0.06600	0.03969	0.00000
1	35	0.06800	0.04018	0.00000
1	36	0.07000	0.04065	0.00000
1	37	0.07200	0.04110	0.00000
1	38	0.07400	0.04155	0.00000
1	39	0.07600	0.04199	0.00000
1	40	0.07800	0.04242	0.00000
1	41	0.08000	0.04284	0.00000
1	42	0.08200	0.04325	0.00000
1	43	0.08400	0.04365	0.00000
1	44	0.08600	0.04404	0.00000
1	45	0.08800	0.04442	0.00000
1	46	0.09000	0.04480	0.00000
1	47	0.09200	0.04517	0.00000
1	48	0.09400	0.04553	0.00000
1	49	0.09600	0.04588	0.00000
1	50	0.09800	0.04622	0.00000
1	51	0.10000	0.04656	0.00000
1	52	0.10200	0.04689	0.00000
1	53	0.10400	0.04722	0.00000
